delta,theta,alpha,beta,gamma,f1,f2,f3,f4,beta_alpha,gamma_power,theta_alpha,stress_index,engagement_index,is_focus,is_memory,is_relaxed,is_stressed,is_engaged,score,label
0.0,0.0,0.08701894851926086,0.05540395102958279,0.058079645487960505,0.06397662401659673,0.03598558243749395,0.15727986840196473,0.01160922195537676,0.636681036616791,0.058079645487960505,0.0,1.3041101316260262,0.636681036616791,0,0,1,1,0,2,0
0.0,0.0,0.09443412700946734,0.06919525236289442,0.07395050932667009,0.07669378526548157,0.03525559559032976,0.13243582308411597,0.01653647159132536,0.7327279006672743,0.07395050932667009,0.0,1.5158105487083615,0.7327279006672743,0,0,1,1,0,2,0
0.0,0.0,0.10536487976623662,0.08040042982904314,0.039565289503079366,0.07643275723185058,0.057571199877849415,0.17691439096958828,0.0028281120624992304,0.7630594458796195,0.039565289503079366,0.0,1.138563257842832,0.7630594458796195,0,0,1,0,0,1,0
0.0,0.0,0.15610592971428466,0.11880127837880383,0.06613018326914624,0.11495966743525966,0.0594762100715417,0.2572144194905396,0.03533906291055212,0.7610250140480013,0.06613018326914624,0.0,1.1846460755228587,0.7610250140480013,0,0,1,0,0,1,0
0.0,0.0,0.10128866360756324,0.06398983933957653,0.03346200415251326,0.06568258660980739,0.07285647210220546,0.2611209134547367,0.0018040062900006948,0.6317509315412362,0.03346200415251326,0.0,0.9621104466261958,0.6317509315412362,0,0,1,0,0,1,0
0.0,0.0,0.06713128691091362,0.05602323742206216,0.0686462777166164,0.06195600986791359,0.0239363754233524,0.09789864785191257,0.026138779812364128,0.8345200200971333,0.0686462777166164,0.0,1.857072369724547,0.8345200200971333,0,0,1,1,0,2,0
0.0,0.0,0.08685421927913901,0.10342911901357672,0.052716617529896134,0.08660726870904713,0.08013046222906049,0.35447779004129804,0.012185551327234312,1.190822150608725,0.052716617529896134,0.0,1.797770333658879,1.190822150608725,0,0,1,1,1,3,1
0.0,0.0,0.13776441246999438,0.10409456847914414,0.09422463063479569,0.1100445450157696,0.06482051274399434,0.2787693049690294,0.03226208734588187,0.7555929069048167,0.09422463063479569,0.0,1.4395427383279835,0.7555929069048167,0,0,1,1,0,2,0
0.0,0.0,0.14477865427544379,0.09409218158753697,0.05856340675900675,0.0978816060523811,0.1330917318823639,0.43819780978348255,0.008299870579366476,0.6498992006744696,0.05856340675900675,0.0,1.0543994535041226,0.6498992006744696,0,0,1,0,0,1,0
0.0,0.0,0.18666600578423134,0.0636044506369877,0.08663110491562954,0.10012650299345907,0.06324172357701069,0.3081555275372984,0.051868179679996414,0.3407375093941785,0.08663110491562954,0.0,0.8048318711785346,0.3407375093941785,0,0,1,0,0,1,0
0.0,0.0,0.09059886507885638,0.08482738785647666,0.08412890449221445,0.08609563632100603,0.05661511448701058,0.21499854399773896,0.006338609882238422,0.9362860284907105,0.08412890449221445,0.0,1.8648625160935373,0.9362860284907105,0,0,1,1,0,2,0
